"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Mar 11 20:15:45 ART 2023","Sat Mar 11 20:15:45 ART 2023","2","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Given I am on the login page",""
"broken","Sat Mar 11 20:28:39 ART 2023","Sat Mar 11 20:28:39 ART 2023","252","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Given I am on the login page",""
"broken","Sat Mar 11 20:11:42 ART 2023","Sat Mar 11 20:11:42 ART 2023","2","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Given I am on the login page",""
"passed","Sat Mar 11 20:32:35 ART 2023","Sat Mar 11 20:32:35 ART 2023","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:33:29 ART 2023","Sat Mar 11 20:33:29 ART 2023","3","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"broken","Sat Mar 11 20:10:20 ART 2023","Sat Mar 11 20:10:20 ART 2023","2","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Given I am on the login page",""
"passed","Sat Mar 11 20:34:50 ART 2023","Sat Mar 11 20:34:50 ART 2023","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:33:56 ART 2023","Sat Mar 11 20:33:57 ART 2023","992","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Given I am on the login page",""
"passed","Sat Mar 11 20:29:29 ART 2023","Sat Mar 11 20:29:29 ART 2023","5","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:11:42 ART 2023","Sat Mar 11 20:11:42 ART 2023","4","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:29:29 ART 2023","Sat Mar 11 20:29:29 ART 2023","2","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:34:45 ART 2023","Sat Mar 11 20:34:45 ART 2023","2","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:33:30 ART 2023","Sat Mar 11 20:33:30 ART 2023","3","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:32:34 ART 2023","Sat Mar 11 20:32:34 ART 2023","4","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:33:56 ART 2023","Sat Mar 11 20:33:56 ART 2023","2","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:32:34 ART 2023","Sat Mar 11 20:32:35 ART 2023","702","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Given I am on the login page",""
"passed","Sat Mar 11 20:34:45 ART 2023","Sat Mar 11 20:34:50 ART 2023","5011","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Given I am on the login page",""
"broken","Sat Mar 11 20:29:29 ART 2023","Sat Mar 11 20:29:29 ART 2023","281","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Given I am on the login page",""
"passed","Sat Mar 11 20:15:45 ART 2023","Sat Mar 11 20:15:45 ART 2023","6","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:10:20 ART 2023","Sat Mar 11 20:10:20 ART 2023","3","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:33:57 ART 2023","Sat Mar 11 20:33:57 ART 2023","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:33:29 ART 2023","Sat Mar 11 20:33:30 ART 2023","909","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Given I am on the login page",""
"passed","Sat Mar 11 19:17:39 ART 2023","Sat Mar 11 19:17:39 ART 2023","3","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:11:42 ART 2023","Sat Mar 11 20:11:42 ART 2023","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:10:20 ART 2023","Sat Mar 11 20:10:20 ART 2023","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:28:39 ART 2023","Sat Mar 11 20:28:39 ART 2023","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:28:39 ART 2023","Sat Mar 11 20:28:39 ART 2023","3","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sat Mar 11 20:15:45 ART 2023","Sat Mar 11 20:15:45 ART 2023","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
